conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
2010292589392699591,Sun Jan 11 18:06:43 +0000 2026,0,@MarioBojic Probably all this talk of trump invading Greenland is smokescreen of nato plans to attack Russia. If i wrong trump is welcome to Greenland.,2010413074151571550,,MarioBojic,en,,0,0,0,https://x.com/undefined/status/2010413074151571550,985157065,
2009962970445689135,Sun Jan 11 18:06:35 +0000 2026,0,@gabystubbs1 @benleo444 They have the right to choose. This is their ancestral land. The people of Greenland aren't as opposed to Trump as you might think. I was surprised when listening to vox pops and interviews at exactly how disgruntled these people are with Denmark.,2010413043499561304,,gabystubbs1,en,,0,0,0,https://x.com/undefined/status/2010413043499561304,1565463885829767170,
2010413038558708034,Sun Jan 11 18:06:34 +0000 2026,0,Greenland invasion threats is a distraction by Trump administration for something far more sinister in Latin America. US can t &amp; won t attack its NATO allies militarily. That s a given.,2010413038558708034,,,en,,0,0,0,https://x.com/undefined/status/2010413038558708034,472092043,
2010361516390854876,Sun Jan 11 18:06:33 +0000 2026,0,@ScottMGreer 1/ If Trump gets us into a war his presidency is toast and the Ds will sweep the midterms and 2028. OTOH peace agreements acquiring Greenland etc. will only give the Rs a small boost relative to the time and effort involved. The focus must be returned to the domestic front.,2010413033894584572,,ScottMGreer,en,,0,0,0,https://x.com/undefined/status/2010413033894584572,1312913469893685248,
2010413010050064672,Sun Jan 11 18:06:27 +0000 2026,0,We captured Maduro ICE started openly killing people and Trump is threatening Greenland all because he s all over the Epstein Files. Who would ve thought such an innocent person would do all of this to distract from the Epstein Files being released lol.,2010413010050064672,,,en,,0,0,0,https://x.com/undefined/status/2010413010050064672,1518816542548369408,
2010355777849208887,Sun Jan 11 18:06:27 +0000 2026,0,@McFaul When Donald Trump threatens Greenland he hands Putin a gift he couldn t earn fracturing NATO from within. Deterrence dies when allies fear the ally. This isn t strategy it s sabotage. Rational voices must shut this down. #NATO #Greenland #Geopolitics #StopTheMadness #Democracy,2010413008955339110,,McFaul,en,,0,0,0,https://x.com/undefined/status/2010413008955339110,953739115,
2010412958615253279,Sun Jan 11 18:06:15 +0000 2026,0,You know why Trump and his jew handlers are so hellbent on getting Greenland? Because it s the last remaining place on the globe where whites are 99.9% majority. The moment Greenland falls into jews hands it s gonna be flooded by paj33ts negroes and other brown bioweapons.,2010412958615253279,,,en,,0,0,0,https://x.com/undefined/status/2010412958615253279,892481520874606592,
2009807820498378812,Sun Jan 11 18:06:12 +0000 2026,0,@grok @tedlieu @thejointstaff NORAD is already defending the Arctic boots on the ground aircraft in the air. Canadian and U.S. forces deployed to Greenland joint operations with Denmark real aerospace warning and interception capability in place. I think all of trump's action are damaging to all,2010412946003050566,,grok,en,,0,0,0,https://x.com/undefined/status/2010412946003050566,314879728,
2010412931314532564,Sun Jan 11 18:06:09 +0000 2026,0,What will come first I wonder : 1- Trump attacking Greenland 2- Civil war VS ICE,2010412931314532564,,,en,,0,0,0,https://x.com/undefined/status/2010412931314532564,1230404619639099396,
2010412625549799565,Sun Jan 11 18:06:07 +0000 2026,0,@SelassieTrinity @chigrl Recent reports from Bloomberg and others confirm discussions among UK Germany and allies for a NATO mission in Greenland to bolster Arctic security amid Trump's threats to acquire it. Nordic officials however dismiss his claims of Russian/Chinese activity there as,2010412925228310587,,SelassieTrinity,en,,0,0,0,https://x.com/undefined/status/2010412925228310587,1720665183188922368,
2010309064673133003,Sun Jan 11 18:06:06 +0000 2026,0,@MikeBales Trump is regular imperialistic mafioso who wants to robb Greenland its resources just like he does in Venezuela! He could increase security as much as needed US has military bases. So this security talk is total bluff!,2010412919532777472,,MikeBales,en,,0,0,0,https://x.com/undefined/status/2010412919532777472,1497675254424031234,
2009870625318547735,Sun Jan 11 18:05:59 +0000 2026,0,@glenn_tunes Hopefully Greenland will study and adopt the methods of the French underground during WW2 . Negotiations did NOT work with Hitler it only gave him more power and made everything WORSE the same will happen with trump https://t.co/kCvJu8NIM7,2010412891170820241,https://pbs.twimg.com/tweet_video_thumb/G-Zr3gBWkAAJmip.jpg,glenn_tunes,en,,0,0,1,https://x.com/undefined/status/2010412891170820241,1159882047952949248,
