text,clean_text,lang,sentiment
@MarioBojic Probably all this talk of trump invading Greenland is smokescreen of nato plans to attack Russia. If i wrong trump is welcome to Greenland.,probably talk trump invading greenland smokescreen nato plans attack russia wrong trump welcome greenland,en,negative
@gabystubbs1 @benleo444 They have the right to choose. This is their ancestral land. The people of Greenland aren't as opposed to Trump as you might think. I was surprised when listening to vox pops and interviews at exactly how disgruntled these people are with Denmark.,right choose ancestral land people greenland opposed trump might think surprised listening vox pops interviews exactly disgruntled people denmark,en,positive
Greenland invasion threats is a distraction by Trump administration for something far more sinister in Latin America. US can t &amp; won t attack its NATO allies militarily. That s a given.,greenland invasion threats distraction trump administration something far sinister latin america us amp attack nato allies militarily given,en,negative
@ScottMGreer 1/ If Trump gets us into a war his presidency is toast and the Ds will sweep the midterms and 2028. OTOH peace agreements acquiring Greenland etc. will only give the Rs a small boost relative to the time and effort involved. The focus must be returned to the domestic front.,trump gets us war presidency toast ds sweep midterms otoh peace agreements acquiring greenland etc give rs small boost relative time effort involved focus must returned domestic front,en,positive
We captured Maduro ICE started openly killing people and Trump is threatening Greenland all because he s all over the Epstein Files. Who would ve thought such an innocent person would do all of this to distract from the Epstein Files being released lol.,captured maduro ice started openly killing people trump threatening greenland epstein files would thought innocent person would distract epstein files released lol,en,negative
@McFaul When Donald Trump threatens Greenland he hands Putin a gift he couldn t earn fracturing NATO from within. Deterrence dies when allies fear the ally. This isn t strategy it s sabotage. Rational voices must shut this down. #NATO #Greenland #Geopolitics #StopTheMadness #Democracy,donald trump threatens greenland hands putin gift earn fracturing nato within deterrence dies allies fear ally strategy sabotage rational voices must shut,en,negative
@grok @tedlieu @thejointstaff NORAD is already defending the Arctic boots on the ground aircraft in the air. Canadian and U.S. forces deployed to Greenland joint operations with Denmark real aerospace warning and interception capability in place. I think all of trump's action are damaging to all,norad already defending arctic boots ground aircraft air canadian u forces deployed greenland joint operations denmark real aerospace warning interception capability place think trump action damaging,en,negative
What will come first I wonder : 1- Trump attacking Greenland 2- Civil war VS ICE,come first wonder trump attacking greenland civil war vs ice,en,negative
@SelassieTrinity @chigrl Recent reports from Bloomberg and others confirm discussions among UK Germany and allies for a NATO mission in Greenland to bolster Arctic security amid Trump's threats to acquire it. Nordic officials however dismiss his claims of Russian/Chinese activity there as,recent reports bloomberg others confirm discussions among uk germany allies nato mission greenland bolster arctic security amid trump threats acquire nordic officials however dismiss claims russian chinese activity,en,negative
@MikeBales Trump is regular imperialistic mafioso who wants to robb Greenland its resources just like he does in Venezuela! He could increase security as much as needed US has military bases. So this security talk is total bluff!,trump regular imperialistic mafioso wants robb greenland resources like venezuela could increase security much needed us military bases security talk total bluff,en,positive
@glenn_tunes Hopefully Greenland will study and adopt the methods of the French underground during WW2 . Negotiations did NOT work with Hitler it only gave him more power and made everything WORSE the same will happen with trump https://t.co/kCvJu8NIM7,hopefully greenland study adopt methods french underground ww negotiations work hitler gave power made everything worse happen trump,en,positive
